simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,1,decreasing0.75,even-even,Model(B3),260.40002585845446,.83422265141433010331
1,4,4,128,2,ideal,model-model,Simulator,3.7632,1.0
1,4,4,128,2,ideal,model-model,Model(B),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,model-model,Model(B1),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,model-model,Model(B2),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,model-model,Model(B3),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,model-even,Simulator,4.7456,1.0
1,4,4,128,2,ideal,model-even,Model(B),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,model-even,Model(B1),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,model-even,Model(B2),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,model-even,Model(B3),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,even-model,Simulator,3.7632,1.0
1,4,4,128,2,ideal,even-model,Model(B),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,even-model,Model(B1),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,even-model,Model(B2),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,even-model,Model(B3),3.5999017647603755,1.04536185871463476246
1,4,4,128,2,ideal,even-even,Simulator,4.7456,1.0
1,4,4,128,2,ideal,even-even,Model(B),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,even-even,Model(B1),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,even-even,Model(B2),4.611597577863712,1.02905770069346849151
1,4,4,128,2,ideal,even-even,Model(B3),4.611597577863712,1.02905770069346849151
1,4,4,128,2,transit,model-model,Simulator,289.5677,1.0
1,4,4,128,2,transit,model-model,Model(B),4.005810169526269,72.28692517754643309802
1,4,4,128,2,transit,model-model,Model(B1),5.98600818932825,48.37409018521494790703
